stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
118,7B,Lisa-Kuli 01,,50.03572,21.99726,,,
119,9B,Dąbrowskiego park 02 nż,,50.0304138736911,21.9943955540657,,,
120,11B,Dąbrowskiego KW. Policji 04,,50.0262974507585,21.9904392957687,,,
212,15B,Dąbrowskiego / Bat. Chłopskich 10,,50.0225115465446,21.9839818775654,,,
157,17B,Podkarpacka politechnika 02,,50.0200540817061,21.979689002037,,,
213,19B,Podkarpacka / Matuszczaka 04,,50.0158764476798,21.9734099507332,,,
214,21B,Podkarpacka / Wetlińska 06 nż,,50.0114657542318,21.9673669338226,,,
215,23B,Podkarpacka kościół 08 nż,,50.0067995272742,21.9611603021622,,,
252,121B,Jarowa kościół 02 nż,,50.0051204710962,21.9612434506416,,,
253,123B,Jarowa / Starowiejska 04 nż,,50.0027,21.96847,,,
254,125B,Jarowa / Brzegowa 06 nż,,50.0008273197653,21.974313184619,,,
255,138B,Jarowa pętla 07 nż,,49.9993467595389,21.9778919219971,,,
578,136B,Jarowa / Brzegowa 05 nż,,50.0009130917261,21.9746337085962,,,
579,134B,Jarowa / Starowiejska 03 nż,,50.00278,21.96819,,,
580,132B,Jarowa kościół 01 nż,,50.0050446191245,21.9620937108994,,,
399,47B,Podkarpacka / Nalepy 10 nż,,50.0005536242941,21.9563966989517,,,
667,49B,Zwięczycka / Podkarpacka 02 nż,,49.9945069275459,21.9588978588581,,,
668,101B,Zwięczycka staw 04 nż,,49.99442,21.96245,,,
343,54B,Zwięczycka MPWiK 05,,49.9958471114854,21.9674225896597,,,
152,20E,Obr. Poczty Gdańskiej pętla 08,,50.0624509777579,21.9799706339836,,,
43,18E,Obr. Poczty Gdańskiej / Raginisa 01,,50.059523743221,21.9778087735176,,,
44,14E,Wyzwolenia / Ofiar Katynia 09,,50.0559247218609,21.9792947173119,,,
45,12E,Wyzwolenia kościół 07,,50.0558162304225,21.9852143526077,,,
285,10E,Wyzwolenia / Okulickiego 05 nż,,50.0554683673309,21.989398598671,,,
1104,75E,Wyzwolenia / Ujejskiego 03 nż,,50.054624,21.993449,,,
286,8E,Wyzwolenia / Warszawska 01 nż,,50.0520240422058,21.9994407892227,,,
65,2L,Lubelska szpital 01,,50.049240846919,22.0004922151566,,,
66,4W,Marszałkowska 01,,50.0455781846447,21.9997076690197,,,
121,13B,Dąbrowskiego / Boh. Westerplatte 08,,50.0231026290796,21.9851070642471,,,
122,21A,Powst. Warszawy / Dąbrowskiego 02,,50.0209950333051,21.9837525486946,,,
123,151A,Powst. Warszawy politechnika 04,,50.0201143996692,21.9887012243271,,,
73,23A,Powst. Warszawy stadion 06,,50.01995,21.99605,,,
74,59A,Powst. Warszawy dom studenta 08,,50.0194457277313,22.0046898722649,,,
75,61A,Powst. Warszawy / Graniczna 10,,50.01819,22.00996,,,
76,63A,Powst. Warszawy / Sikorskiego 12 nż,,50.0176671529499,22.0152926445007,,,
58,86A,Sikorskiego katedra 04 nż,,50.01378,22.01712,,,
59,62A,Łukasiewicza / Sikorskiego 02 nż,,50.01102,22.01851,,,
60,64A,Łukasiewicza / Zimowit 04 nż,,50.0087870816206,22.0220705866814,,,
61,66A,Łukasiewicza / Gumińskich 06 nż,,50.0068357280449,22.0250827074051,,,
165,98A,Łukasiewicza pętla 08,,50.003578411471,22.0292884111404,,,
587,70A,Kiepury / Herberta 02 nż,,50.0038305403096,22.0381075143814,,,
588,72A,Matysowska / Skalista 02 nż,,50.00408,22.04697,,,
589,74A,Matysowska szkoła 04 nż,,49.9980338286893,22.055871784687,,,
590,76A,Matysowska górka 06 nż,,49.9940956831706,22.0613233745098,,,
1074,210A,Matysowska / Pienińska 08 nż,,49.99204,22.069425,,,
1072,219A,Pienińska pętla 03,,49.987455,22.068796,,,
991,107S,Mrowla Otoka pętla 01,,50.0954664168162,21.8954716622829,,,
511,24S,Kamyszyn pętla 02 nż,,50.0894505950774,21.8961328268051,,,
776,40S,Kamyszyn 04 nż,,50.0837575832144,21.8944229185581,,,
512,22S,Świlcza PKP 03 nż,,50.0791594834816,21.8997927010059,,,
513,34S,Świlcza sklep 05 nż,,50.0763141722603,21.8998396396637,,,
514,36S,Świlcza 07,,50.0720544963445,21.8999657034874,,,
515,20S,Świlcza osiedle 60 nż,,50.0696839248135,21.9108071923256,,,
516,18S,Świlcza Nowy Dwór 62 nż,,50.0649389866794,21.9299501180649,,,
164,16S,Krakowska granica 15 nż,,50.0636579795174,21.9353199005127,,,
397,14S,Krakowska / Dworzysko 13 nż,,50.0616055418917,21.9436964392662,,,
398,12S,Krakowska / Ustrzycka 11,,50.05891,21.95426,,,
337,10S,Krakowska cmentarz 09 nż,,50.0571956032997,21.9612810015678,,,
517,8S,Krakowska / Mielecka 07 nż,,50.0526853718069,21.9702583551407,,,
135,6S,Krakowska galeria 05,,50.0482797803635,21.975169479847,,,
136,4S,Krakowska szpital 03,,50.0457392339816,21.980846375227,,,
296,2H,Bardowskiego 04,,50.0417360934674,22.008580416441,,,
750,88D,Słocińska pętla 11 nż,,50.0321609637115,22.0761787891388,,,
491,78D,Słocińska / Rodziny Lutaków 09 nż,,50.0307929321517,22.0722359418869,,,
492,76D,Słocińska / Pileckich 07 nż,,50.0283651832301,22.0632833987474,,,
493,74D,Słocińska / Niedziochy 05 nż,,50.02874,22.05807,,,
494,122D,Słocińska cmentarz 03 nż,,50.02801,22.0538,,,
495,72D,Słocińska szkoła 01 nż,,50.0263267442568,22.0481362938881,,,
434,58D,Paderewskiego kościół 05,,50.0267592520641,22.0430079102516,,,
435,146D,Witolda seminarium 01 nż,,50.0300046594946,22.0418800413609,,,
436,56D,Leszka Czarnego 01 nż,,50.0341026745906,22.0413100719452,,,
56,78A,Rejtana / Popiełuszki 09,,50.0227148935435,22.0168483257294,,,
181,60A,Powst. Warszawy / Rejtana 13,,50.0181462716279,22.0149439573288,,,
182,58A,Powst. Warszawy szkoła 11,,50.0188425362981,22.0088472962379,,,
183,56A,Powst. Warszawy dom studenta 09,,50.0197559375195,22.0052450895309,,,
241,51A,Podwisłocze / Powst. Warszawy 02,,50.0206141741637,22.0037215948105,,,
242,53A,Podwisłocze / Seniora 04,,50.0250291974673,22.0061677694321,,,
243,142A,Kopisto Most Zamkowy 04,,50.0298401113294,22.0070180296898,,,
127,1B,Dworzec Główny PKP 01,,50.0423458877149,22.006614357233,,,
19,11G,Wyspiańskiego stadion 01 nż,,50.0396775500278,21.9810461997986,,,
20,13G,Wita Stwosza / Wyspiańskiego 05 nż,,50.0375500086169,21.9851097464561,,,
21,15G,Wita Stwosza kościół 03,,50.0339321104096,21.9824436306953,,,
22,23G,Langiewicza / Wita Stwosza 04,,50.0306585390399,21.9788239896297,,,
627,11F,Witosa / Langiewicza 02 nż,,50.0316475257046,21.9765669107437,,,
189,168A,Sikorskiego MPGK 20,,49.9729001988826,22.0249137282372,,,
190,110A,Sikorskiego granica 15 nż,,49.9739386752169,22.0253723859787,,,
191,198B,Sikorskiego / Ruczajowa 13 nż,,49.9791652175054,22.022006213665,,,
192,170A,Kard. K. Wojtyły / Sikorskiego 02 nż,,49.9826311541482,22.0178662240505,,,
193,131A,Kard. K. Wojtyły pętla 04 nż,,49.9868461692919,22.0139501988888,,,
194,133A,Kard. K. Wojtyły kościół 06 nż,,49.9931533426498,22.0091611146927,,,
195,103A,Miła dom kultury 05 nż,,49.9961846302112,22.004542350769,,,
196,101A,Miła bloki 03 nż,,50.000841,22.004718,,,
197,99A,Miła / Strażacka 01 nż,,50.004580885149,22.0072191953659,,,
736,207A,Strażacka / Sympatyczna 06 nż,,50.004114560785,22.0103587210178,,,
198,97A,Strażacka / Sikorskiego 08 nż,,50.00124,22.01553,,,
199,95A,Sikorskiego / Robotnicza 05 nż,,50.0011191162129,22.018047273159,,,
200,93A,Sikorskiego domki 03 nż,,50.007171876756,22.0176959037781,,,
144,65A,Sikorskiego katedra 01 nż,,50.0128653616141,22.0175832509995,,,
186,8B,Lisa-Kuli 02,,50.036538747377,21.9975605607033,,,
187,6B,Cieplińskiego 01,,50.0391641923901,21.9984644651413,,,
206,1L,Lubelska szpital 02,,50.04975065219,22.0013156533241,,,
207,3L,Lubelska kościół 06 nż,,50.0528265920513,22.0035928487778,,,
208,87W,Staromiejska / Lubelska 02 nż,,50.0545556452497,22.0037135481834,,,
209,89W,Staromiejska dom kultury 04 nż,,50.05825,22.00112,,,
210,91W,Staromiejska szkoła 06 nż,,50.0612181172191,21.9962087273598,,,
772,17W,Pogwizdowska OSP 02 nż,,50.0851241054149,21.9746276736259,,,
773,19W,Pogwizdowska szkoła 04 nż,,50.087744,21.969893,,,
774,109W,Pogwizdowska granica 06 nż,,50.087723,21.965621,,,
710,102S,Rudna Wielka dom ludowy 27 nż,,50.0877641021982,21.9456946849823,,,
